walk_file: 	 walk_test.pt
data files: 	 present.txt , past.txt
init mode: 	 rand
num epochs: 	 100
------------------------------------------------------------
present, past data length: 14541 14541
number of batches: 97
INITIAL LOSS: rand init
LOSS 0 : tensor(24.4541, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 1 : tensor(34.6501, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 2 : tensor(47.9942, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 3 : tensor(47.3258, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 4 : tensor(59.2362, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 5 : tensor(59.1053, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 6 : tensor(57.9053, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 7 : tensor(62.2588, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 8 : tensor(71.5305, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 9 : tensor(70.6347, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 10 : tensor(70.8745, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 11 : tensor(73.6998, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 12 : tensor(84.6156, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 13 : tensor(80.9398, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 14 : tensor(78.4881, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 15 : tensor(83.3350, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 16 : tensor(81.4741, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 17 : tensor(93.5566, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 18 : tensor(89.4339, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 19 : tensor(89.5838, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 20 : tensor(88.5378, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 21 : tensor(91.8978, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 22 : tensor(106.6185, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 23 : tensor(94.3295, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 24 : tensor(98.5234, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 25 : tensor(103.4799, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 26 : tensor(103.1879, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 27 : tensor(96.8930, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 28 : tensor(122.4991, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 29 : tensor(103.6763, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 30 : tensor(106.6924, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 31 : tensor(117.1423, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 32 : tensor(101.3172, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 33 : tensor(102.3338, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 34 : tensor(133.2852, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 35 : tensor(114.6132, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 36 : tensor(119.8923, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 37 : tensor(125.4821, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 38 : tensor(114.2501, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 39 : tensor(112.8878, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 40 : tensor(143.9936, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 41 : tensor(128.8737, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 42 : tensor(122.6009, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 43 : tensor(142.1664, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 44 : tensor(127.5578, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 45 : tensor(126.3282, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 46 : tensor(157.9952, device='cuda:0', grad_fn=<MeanBackward0>)
LOSS 47 : tensor(135.3186, device='cuda:0', grad_fn=<MeanBackward0>)
